timestamp,step,qed,logp,l2_distance
2026-04-28T18:21:49Z,6,3.9946,3.604,0.0619
2026-04-28T18:21:49Z,7,4.1083,3.7021,0.0655
2026-04-28T18:21:49Z,8,4.1626,3.7487,0.0678
2026-04-28T18:21:49Z,9,4.1597,3.7463,0.069
2026-04-28T18:21:49Z,10,4.1131,3.7061,0.0695
2026-04-28T18:21:49Z,11,4.0386,3.6419,0.0693
2026-04-28T18:21:49Z,12,3.951,3.5663,0.0687
2026-04-28T18:21:49Z,13,3.8641,3.4915,0.0679
2026-04-28T18:21:49Z,14,3.7904,3.4278,0.0669
2026-04-28T18:21:49Z,15,3.7393,3.3836,0.0659
2026-04-28T18:21:49Z,16,3.7165,3.3638,0.0651
2026-04-28T18:21:49Z,17,3.7222,3.3684,0.0645
2026-04-28T18:21:49Z,18,3.7518,3.3937,0.0642
2026-04-28T18:21:49Z,19,3.7987,3.4337,0.064
2026-04-28T18:21:49Z,20,3.8563,3.483,0.0641
2026-04-28T18:21:49Z,21,3.919,3.5368,0.0643
2026-04-28T18:21:49Z,22,3.9822,3.5911,0.0647
2026-04-28T18:21:49Z,23,4.0403,3.6412,0.0651
2026-04-28T18:21:49Z,24,4.0894,3.6835,0.0654
2026-04-28T18:21:49Z,25,4.1259,3.715,0.0657
2026-04-28T18:21:49Z,26,4.1489,3.7347,0.0658
2026-04-28T18:21:49Z,27,4.1577,3.7422,0.0658
2026-04-28T18:21:49Z,28,4.1535,3.7384,0.0657
2026-04-28T18:21:49Z,29,4.138,3.7249,0.0654
2026-04-28T18:21:49Z,30,4.1146,3.7044,0.065
2026-04-28T18:21:49Z,31,4.0867,3.6801,0.0645
2026-04-28T18:21:49Z,32,4.058,3.6551,0.0641
2026-04-28T18:21:49Z,33,4.0318,3.6322,0.0637
2026-04-28T18:21:49Z,34,4.0106,3.6136,0.0634
2026-04-28T18:21:49Z,35,3.9962,3.6009,0.0631
2026-04-28T18:21:49Z,36,3.9896,3.595,0.063
2026-04-28T18:21:49Z,37,3.9909,3.596,0.063
2026-04-28T18:21:49Z,38,3.9993,3.603,0.0632
2026-04-28T18:21:49Z,39,4.0128,3.6145,0.0634
2026-04-28T18:21:49Z,40,4.0287,3.6281,0.0636
2026-04-28T18:21:49Z,41,4.0442,3.6414,0.0639
2026-04-28T18:21:49Z,42,4.057,3.6522,0.0641
2026-04-28T18:21:49Z,43,4.0655,3.6595,0.0643
2026-04-28T18:21:49Z,44,4.069,3.6624,0.0644
2026-04-28T18:21:49Z,45,4.0679,3.6612,0.0645
2026-04-28T18:21:49Z,46,4.0629,3.6567,0.0645
2026-04-28T18:21:49Z,47,4.0553,3.6501,0.0644
2026-04-28T18:21:49Z,48,4.0467,3.6425,0.0643
2026-04-28T18:21:49Z,49,4.0382,3.6349,0.0642
2026-04-28T18:21:49Z,50,4.0309,3.6284,0.064
2026-04-28T18:21:49Z,51,4.0255,3.6236,0.0639
2026-04-28T18:21:49Z,52,4.0226,3.6209,0.0638
2026-04-28T18:21:49Z,53,4.0222,3.6203,0.0637
2026-04-28T18:21:49Z,54,4.024,3.6218,0.0636
2026-04-28T18:21:49Z,55,4.0275,3.6247,0.0636
2026-04-28T18:21:49Z,56,4.0321,3.6285,0.0636
2026-04-28T18:21:49Z,57,4.037,3.6326,0.0637
2026-04-28T18:21:49Z,58,4.0418,3.6366,0.0637
2026-04-28T18:21:49Z,59,4.0461,3.6402,0.0637
2026-04-28T18:21:49Z,60,4.0497,3.6432,0.0638
2026-04-28T18:21:49Z,61,4.0523,3.6453,0.0638
2026-04-28T18:21:49Z,62,4.0534,3.6462,0.0637
2026-04-28T18:21:49Z,63,4.0531,3.6458,0.0637
2026-04-28T18:21:49Z,64,4.0512,3.6441,0.0636
2026-04-28T18:21:49Z,65,4.0483,3.6415,0.0636
2026-04-28T18:21:49Z,66,4.045,3.6385,0.0635
2026-04-28T18:21:49Z,67,4.042,3.6359,0.0634
2026-04-28T18:21:49Z,68,4.0398,3.6338,0.0634
2026-04-28T18:21:49Z,69,4.0385,3.6326,0.0634
2026-04-28T18:21:49Z,70,4.038,3.632,0.0634
2026-04-28T18:21:49Z,71,4.0383,3.6322,0.0634
